579,156,0.001247,7.008772,12
437,187,0.000973,6.869509,15
430,189,0.000992,6.610747,13
466,207,0.001046,6.945455,17
16,16,0.000048,5.500000,10
407,152,0.000908,6.590846,12
422,168,0.000926,6.612601,14
96,27,0.000218,8.054217,11
576,87,0.001465,6.730019,7
634,119,0.001387,7.052538,13
90,57,0.000214,6.809816,15
560,141,0.001205,6.932392,11
83,47,0.000199,5.891156,13
502,146,0.001111,6.734305,14
66,39,0.000179,6.134454,13
501,146,0.001091,6.698768,10
81,44,0.000192,6.510638,10
46,37,0.000115,7.869048,19
386,160,0.000840,6.806405,18
429,190,0.000942,6.808201,16
540,132,0.001206,6.774428,14
453,166,0.000994,6.643750,10
464,181,0.001039,6.876074,15
651,198,0.001443,7.221930,14
406,189,0.001009,6.628453,13
423,187,0.000931,6.837366,15
453,203,0.001000,6.817164,15
17,15,0.000062,5.382353,7
405,165,0.000901,6.697772,13
542,140,0.001169,6.953271,16
135,38,0.000299,8.691304,14
67,34,0.000166,7.914530,12
452,194,0.001005,6.759051,16
432,195,0.000973,6.809211,13
521,162,0.001163,6.914502,14
111,79,0.000254,7.827411,17
590,98,0.001297,6.833492,14
549,148,0.001183,6.898773,14
447,184,0.001001,6.728192,12
460,211,0.001043,6.956790,13
394,140,0.000889,6.472103,8
65,45,0.000156,7.798319,19
510,155,0.001128,6.728982,11
525,222,0.001119,6.770652,16
533,130,0.001163,6.888771,14
416,184,0.000934,6.963464,20
19,18,0.000055,7.472222,14
428,181,0.000955,6.787599,15
552,149,0.001564,6.852342,11
461,198,0.001036,7.300371,16
496,174,0.001258,7.079128,12
88,49,0.000203,7.538961,15
601,101,0.001281,6.789916,11
452,206,0.000996,7.279040,16
560,132,0.001234,6.863911,12
43,36,0.000123,7.333333,16
480,180,0.001038,6.946746,8
459,216,0.001004,7.028290,12
80,55,0.000201,7.758865,17
68,46,0.000160,6.628099,16
525,219,0.001125,6.796518,19
401,153,0.000884,6.597475,13
632,195,0.001387,7.222924,15
416,188,0.000919,6.955224,18
496,210,0.001099,7.478857,14
20,20,0.000064,7.916667,16
659,129,0.001443,7.118803,17
474,197,0.001041,6.955847,15
62,41,0.000149,7.633929,19
423,170,0.000952,6.562249,10
514,158,0.001131,6.832969,16
394,166,0.000866,6.625000,16
420,181,0.000936,6.912634,15
410,178,0.000905,6.706207,18
386,175,0.000857,6.514577,11
448,176,0.001103,6.877525,20
389,164,0.000941,6.535456,14
466,194,0.001195,6.904126,16
453,194,0.001000,6.616149,10
442,193,0.001029,6.836551,17
590,129,0.001303,6.828820,11
454,197,0.001011,7.008696,21
57,39,0.000145,5.575472,11
18,17,0.000057,7.257143,13
387,149,0.000876,6.435860,7
572,175,0.001232,7.080357,17
417,179,0.001018,6.644898,11
596,175,0.001278,7.102927,17
382,168,0.000825,6.388807,8
522,150,0.001231,6.742734,12
580,151,0.001414,7.113592,21
458,208,0.001016,6.909988,18
485,176,0.001070,6.989449,12
580,152,0.001251,6.989279,14
409,152,0.000911,6.717241,12
403,161,0.000881,6.648951,17
636,186,0.001402,7.133752,8
48,29,0.000121,5.715909,9
613,104,0.001353,6.960514,14
450,203,0.001080,6.843750,13
